C:\Users\eric\Documents\ML - ver2\data_2017-05-22-14-09-27.csv,linear scale factor,100
time,posX,posY,posZ,angAlpha,angBeta,angGamma,velX,velY,velZ,aVelAlpha,aVelBeta,aVelGamma
02:09:27.709 PM,116.9878, 138.1136, -297.1805,351.4403, 186.4699, 347.8871,116.9878, 138.1136, -297.1805,351.4403, 186.4699, 347.8871
02:09:27.714 PM,116.9878, 138.1136, -297.1805,351.4403, 186.4699, 347.8871,0, 0, 0,0, 0, 0
02:09:27.852 PM,116.9964, 138.1158, -297.1849,351.44, 186.4656, 347.8878,0.008644104, 0.002182007, -0.004364014,-0.0003051758, -0.004257202, 0.0007629395
02:09:27.862 PM,116.919, 138.0228, -297.1425,351.4542, 186.5004, 347.8744,-0.07740784, -0.09300232, 0.0423584,0.01419067, 0.03477478, -0.01342773
02:09:27.867 PM,116.8794, 138.0106, -297.1177,351.4453, 186.52, 347.872,-0.03964233, -0.01220703, 0.02487183,-0.008911133, 0.0196228, -0.002410889
02:09:27.880 PM,116.9356, 137.9883, -297.1738,351.4479, 186.4908, 347.8541,0.05619049, -0.02224731, -0.05615234,0.002685547, -0.02923584, -0.0178833
02:09:27.895 PM,116.9126, 138.0019, -297.1509,351.4601, 186.5049, 347.868,-0.02300262, 0.0136261, 0.02288818,0.01220703, 0.01416016, 0.01385498
02:09:27.907 PM,116.9006, 138.0138, -297.1451,351.4626, 186.5112, 347.8707,-0.01198578, 0.01187134, 0.00579834,0.002410889, 0.006210327, 0.002716064
02:09:27.918 PM,116.9471, 138.0591, -297.1645,351.4613, 186.4861, 347.8836,0.04649353, 0.04524231, -0.01931763,-0.001281738, -0.02500916, 0.01287842
02:09:27.930 PM,116.927, 138.0115, -297.1606,351.4629, 186.4966, 347.8723,-0.0200882, -0.0475769, 0.003845215,0.001647949, 0.01048279, -0.01132202
02:09:27.940 PM,116.8951, 138.0199, -297.149,351.4662, 186.5139, 347.8722,-0.03193665, 0.008392334, 0.01159668,0.003265381, 0.01727295, -6.103516E-05
02:09:27.951 PM,116.9562, 138.0697, -297.1696,351.4538, 186.4867, 347.8806,0.06111908, 0.04986572, -0.02062988,-0.01242065, -0.02720642, 0.008392334
02:09:27.963 PM,116.9502, 138.0368, -297.1635,351.4617, 186.4928, 347.8751,-0.006004333, -0.03292847, 0.006195068,0.007904053, 0.006118774, -0.005523682
02:09:27.974 PM,116.9576, 138.0931, -297.1627,351.4608, 186.4894, 347.8894,0.007446289, 0.05625916, 0.0007629395,-0.0008850098, -0.003387451, 0.01434326
02:09:27.985 PM,116.9483, 138.0872, -297.167,351.4504, 186.4924, 347.879,-0.009346008, -0.005889893, -0.004272461,-0.01037598, 0.002975464, -0.01040649
02:09:27.996 PM,116.9377, 138.0687, -297.1545,351.4556, 186.4998, 347.8779,-0.01060486, -0.01844788, 0.01248169,0.005187988, 0.00743103, -0.00112915
02:09:28.007 PM,116.9137, 138.074, -297.1373,351.4484, 186.512, 347.8778,-0.02394104, 0.005310059, 0.0171814,-0.007202148, 0.01219177, -6.103516E-05
02:09:28.018 PM,116.951, 138.0383, -297.175,351.45, 186.4861, 347.8643,0.03730011, -0.0357666, -0.03768921,0.001617432, -0.02590942, -0.01345825
02:09:28.029 PM,116.901, 138.0211, -297.1458,351.4596, 186.5149, 347.8662,-0.0500412, -0.01713562, 0.0291748,0.009552002, 0.02879333, 0.001831055
02:09:28.041 PM,116.9262, 138.037, -297.1459,351.4579, 186.5013, 347.876,0.02516174, 0.0158844, -0.0001220703,-0.001647949, -0.01358032, 0.009857178
02:09:28.052 PM,116.9108, 138.0584, -297.1407,351.4514, 186.5081, 347.8773,-0.0153656, 0.02137756, 0.005249023,-0.006561279, 0.006820679, 0.001312256
02:09:28.064 PM,116.8998, 138.013, -297.1406,351.4507, 186.5133, 347.8666,-0.01098633, -0.04536438, 0.0001220703,-0.0006103516, 0.005172729, -0.01071167
02:09:28.074 PM,116.9149, 138.063, -297.1347,351.4409, 186.5042, 347.8809,0.01509857, 0.04994202, 0.005828857,-0.009857178, -0.009109497, 0.01428223
02:09:28.085 PM,116.8997, 138.032, -297.1355,351.455, 186.5129, 347.8765,-0.01524353, -0.0309906, -0.0007324219,0.01416016, 0.008712769, -0.004394531
02:09:28.096 PM,116.9282, 138.0296, -297.1506,351.4633, 186.4992, 347.8796,0.02853394, -0.002365112, -0.01513672,0.008209229, -0.01374817, 0.003051758
