C:\Users\eric\Documents\ML - ver2\data_2017-05-23-08-08-58.csv,linear scale factor,100
time,posX,posY,posZ,angAlpha,angBeta,angGamma,velX,velY,velZ,aVelAlpha,aVelBeta,aVelGamma
08:08:58.730 AM,70.7776, 127.884, -245.1562,354.6379, 221.8463, 346.5533,70.7776, 127.884, -245.1562,354.6379, 221.8463, 346.5533
08:08:58.733 AM,70.7776, 127.884, -245.1562,354.6379, 221.8463, 346.5533,0, 0, 0,0, 0, 0
08:08:58.900 AM,70.77899, 127.8759, -245.1599,354.6406, 221.8456, 346.5526,0.00138855, -0.008117676, -0.003631592,0.002655029, -0.0007324219, -0.0006713867
08:08:58.908 AM,70.78117, 127.886, -245.1417,354.6201, 221.8419, 346.5511,0.002182007, 0.01015472, 0.01812744,-0.02044678, -0.003646851, -0.001464844
08:08:58.914 AM,70.78389, 127.9125, -245.143,354.6201, 221.8386, 346.5515,0.002716064, 0.02648926, -0.001296997,-9.155273E-05, -0.003311157, 0.0003967285
08:08:58.925 AM,70.75311, 127.8715, -245.1292,354.6408, 221.8599, 346.5516,-0.03077698, -0.04104614, 0.01382446,0.02075195, 0.02124023, 0.0001220703
08:08:58.936 AM,70.78114, 127.909, -245.1305,354.6298, 221.8457, 346.561,0.02802277, 0.03756714, -0.001281738,-0.01101685, -0.01412964, 0.009368896
08:08:58.948 AM,70.7845, 127.8805, -245.1499,354.6295, 221.8397, 346.5474,0.003364563, -0.02856445, -0.01940918,-0.0003356934, -0.006072998, -0.01358032
08:08:58.957 AM,70.75641, 127.8854, -245.1218,354.6315, 221.8585, 346.5507,-0.02809143, 0.004943848, 0.02813721,0.002044678, 0.01882935, 0.003295898
08:08:58.969 AM,70.81454, 127.9295, -245.15,354.6307, 221.8253, 346.5685,0.05812836, 0.04407501, -0.02827454,-0.0008239746, -0.03317261, 0.01773071
08:08:58.980 AM,70.78397, 127.919, -245.1418,354.6334, 221.8422, 346.5637,-0.03056335, -0.01044464, 0.008255005,0.002746582, 0.01686096, -0.004760742
08:08:58.993 AM,70.77749, 127.9202, -245.1354,354.6259, 221.8445, 346.5595,-0.006484985, 0.001121521, 0.00642395,-0.007537842, 0.002319336, -0.004150391
08:08:59.002 AM,70.79006, 127.9063, -245.1425,354.6237, 221.8361, 346.5569,0.01257324, -0.01385498, -0.007125854,-0.00213623, -0.008377075, -0.002655029
08:08:59.013 AM,70.75831, 127.9303, -245.1175,354.6343, 221.8574, 346.5667,-0.03175354, 0.02396393, 0.02496338,0.01052856, 0.02130127, 0.00982666
08:08:59.024 AM,70.77427, 127.8929, -245.1391,354.6332, 221.8447, 346.5538,0.01596069, -0.03731537, -0.02160645,-0.001037598, -0.01277161, -0.01287842
08:08:59.036 AM,70.80148, 127.9061, -245.1482,354.6312, 221.8314, 346.5603,0.02721405, 0.01319885, -0.009048462,-0.002075195, -0.01325989, 0.006469727
08:08:59.047 AM,70.79037, 127.9496, -245.1355,354.6262, 221.8384, 346.5678,-0.0111084, 0.04350281, 0.01268005,-0.004974365, 0.007034302, 0.007507324
08:08:59.058 AM,70.78605, 127.9459, -245.1313,354.6298, 221.8413, 346.5691,-0.004325867, -0.003746033, 0.004196167,0.003601074, 0.002822876, 0.001281738
08:08:59.069 AM,70.80428, 127.9169, -245.1408,354.6295, 221.8349, 346.5619,0.01823425, -0.02897644, -0.009460449,-0.0002746582, -0.006347656, -0.007232666
08:08:59.080 AM,70.78917, 127.923, -245.1574,354.6387, 221.8435, 346.57,-0.01511383, 0.00604248, -0.01661682,0.009216309, 0.008590698, 0.008148193
08:08:59.091 AM,70.81824, 127.9233, -245.1825,354.6429, 221.8267, 346.5735,0.02906799, 0.0003204346, -0.02508545,0.004150391, -0.0168457, 0.003509521
08:08:59.102 AM,70.76611, 127.8803, -245.1415,354.6429, 221.8554, 346.5648,-0.05212402, -0.04295349, 0.04093933,3.051758E-05, 0.02871704, -0.00869751
08:08:59.114 AM,70.77055, 127.9143, -245.1372,354.6357, 221.8509, 346.5649,0.004440308, 0.03392029, 0.00428772,-0.007263184, -0.004486084, 6.103516E-05
08:08:59.125 AM,70.78242, 127.8941, -245.1529,354.6442, 221.844, 346.5645,0.01187134, -0.02013397, -0.01564026,0.008575439, -0.006851196, -0.0004272461
08:08:59.136 AM,70.78683, 127.9193, -245.138,354.6322, 221.8441, 346.5682,0.00440979, 0.025177, 0.01483154,-0.01205444, 7.629395E-05, 0.00378418
08:08:59.147 AM,70.78192, 127.9333, -245.1324,354.6427, 221.8493, 346.5751,-0.00491333, 0.0140152, 0.005630493,0.01052856, 0.005187988, 0.006835938
08:08:59.159 AM,70.78291, 127.9228, -245.1329,354.6295, 221.8453, 346.5638,0.0009918213, -0.01053619, -0.00050354,-0.01315308, -0.004013062, -0.01123047
08:08:59.171 AM,70.83398, 127.9236, -245.1637,354.6332, 221.8179, 346.571,0.05107117, 0.000831604, -0.03076172,0.003631592, -0.02742004, 0.007171631
08:08:59.181 AM,70.79642, 127.9358, -245.144,354.6348, 221.8404, 346.5728,-0.03756714, 0.01216125, 0.01965332,0.001586914, 0.02255249, 0.001800537
