C:\Users\eric\Documents\ML - ver2\data_2017-05-23-08-10-08.csv,linear scale factor,100
time,posX,posY,posZ,angAlpha,angBeta,angGamma,velX,velY,velZ,aVelAlpha,aVelBeta,aVelGamma
08:10:08.828 AM,142.9501, 121.9418, -283.9867,352.8135, 182.0558, 343.5315,142.9501, 121.9418, -283.9867,352.8135, 182.0558, 343.5315
08:10:08.832 AM,142.9501, 121.9418, -283.9867,352.8135, 182.0558, 343.5315,0, 0, 0,0, 0, 0
08:10:08.989 AM,142.9447, 121.9424, -283.9866,352.8111, 182.0581, 343.53,-0.005401611, 0.0005950928, 0.0001220703,-0.002441406, 0.002243042, -0.001464844
08:10:08.997 AM,142.9872, 121.9919, -284.0066,352.8425, 182.0414, 343.5476,0.04244995, 0.04953003, -0.0199585,0.03137207, -0.01663208, 0.01757813
08:10:09.009 AM,142.9732, 121.9298, -283.978,352.8174, 182.058, 343.5287,-0.01399231, -0.06210327, 0.02856445,-0.02508545, 0.01655579, -0.01882935
08:10:09.022 AM,142.9892, 121.9716, -283.9768,352.828, 182.0512, 343.5453,0.01602173, 0.04175568, 0.001159668,0.01065063, -0.006774902, 0.01651001
08:10:09.029 AM,142.9879, 121.9371, -283.9819,352.8194, 182.0532, 343.5277,-0.001296997, -0.03446198, -0.005065918,-0.008666992, 0.002029419, -0.01754761
08:10:09.040 AM,142.9698, 121.9295, -283.9685,352.8202, 182.0553, 343.5323,-0.01812744, -0.007568359, 0.01342773,0.0008239746, 0.002075195, 0.004577637
08:10:09.051 AM,142.9855, 121.9177, -283.9967,352.8296, 182.0486, 343.5294,0.01571655, -0.01187134, -0.02825928,0.009429932, -0.006698608, -0.00289917
08:10:09.063 AM,142.9488, 121.8733, -283.993,352.8367, 182.0701, 343.5154,-0.03674316, -0.04434967, 0.003723145,0.007110596, 0.02148438, -0.01397705
08:10:09.073 AM,142.9843, 121.8817, -283.9969,352.8335, 182.0465, 343.5242,0.0355835, 0.008392334, -0.00390625,-0.003265381, -0.02360535, 0.008789063
08:10:09.084 AM,142.9403, 121.8854, -283.9886,352.8311, 182.0694, 343.5192,-0.04400635, 0.003730774, 0.008331299,-0.002410889, 0.02285767, -0.004974365
08:10:09.096 AM,142.9398, 121.9141, -283.9842,352.8296, 182.0693, 343.5284,-0.00050354, 0.02871704, 0.004394531,-0.001464844, -1.525879E-05, 0.009155273
08:10:09.107 AM,142.9497, 121.8455, -283.9887,352.8399, 182.067, 343.5142,0.009841919, -0.06864166, -0.004486084,0.01034546, -0.002319336, -0.01419067
08:10:09.118 AM,142.9493, 121.888, -283.9775,352.8136, 182.0636, 343.5145,-0.0003814697, 0.04253387, 0.01116943,-0.02633667, -0.003463745, 0.0002746582
08:10:09.130 AM,142.9584, 121.8932, -283.9802,352.8356, 182.0606, 343.526,0.009109497, 0.0051651, -0.002655029,0.02200317, -0.002960205, 0.01150513
08:10:09.141 AM,142.9983, 121.8886, -283.9825,352.8251, 182.0406, 343.5253,0.03985596, -0.004623413, -0.002319336,-0.01046753, -0.01997375, -0.0006408691
08:10:09.152 AM,142.9399, 121.875, -283.9814,352.829, 182.0707, 343.5203,-0.05831909, -0.01355743, 0.001098633,0.003845215, 0.03004456, -0.005065918
08:10:09.163 AM,143.0027, 121.8842, -284.0035,352.8422, 182.0384, 343.53,0.06272888, 0.009170532, -0.02212524,0.01324463, -0.03224182, 0.009735107
08:10:09.174 AM,142.9558, 121.8281, -283.9847,352.8293, 182.0599, 343.5038,-0.04685974, -0.05605316, 0.01876831,-0.01293945, 0.02145386, -0.0262146
08:10:09.185 AM,142.9489, 121.8821, -283.9704,352.826, 182.0607, 343.5222,-0.006896973, 0.05397797, 0.01431274,-0.003265381, 0.000793457, 0.01846313
08:10:09.196 AM,142.9435, 121.8906, -283.966,352.8182, 182.062, 343.5212,-0.005371094, 0.008460999, 0.004425049,-0.007843018, 0.001312256, -0.00100708
08:10:09.208 AM,142.9597, 121.8555, -283.9666,352.8194, 182.0579, 343.5132,0.0161438, -0.03512573, -0.0006103516,0.001251221, -0.004104614, -0.008087158
08:10:09.219 AM,142.9535, 121.8853, -283.9583,352.8245, 182.0596, 343.5233,-0.006210327, 0.02989197, 0.008331299,0.005096436, 0.001739502, 0.01019287
08:10:09.230 AM,142.9529, 121.9117, -283.9512,352.8235, 182.0579, 343.5325,-0.000579834, 0.0263443, 0.007110596,-0.00100708, -0.001708984, 0.009155273
08:10:09.241 AM,142.9784, 121.9052, -283.9514,352.8185, 182.0438, 343.5319,0.02548218, -0.006515503, -0.0002746582,-0.0050354, -0.0140686, -0.0006408691
08:10:09.252 AM,142.9339, 121.8396, -283.9767,352.8435, 182.0706, 343.5185,-0.04446411, -0.06555939, -0.02529907,0.02505493, 0.02671814, -0.01339722
08:10:09.264 AM,142.9376, 121.8539, -283.9749,352.8398, 182.0674, 343.5226,0.003723145, 0.01431274, 0.001800537,-0.003723145, -0.003128052, 0.004150391
08:10:09.275 AM,142.9507, 121.8644, -283.9656,352.8319, 182.0629, 343.5288,0.01301575, 0.01051331, 0.009307861,-0.007873535, -0.004547119, 0.006195068
08:10:09.286 AM,142.9603, 121.8344, -283.9727,352.8241, 182.0579, 343.5074,0.009674072, -0.03009033, -0.007019043,-0.007873535, -0.004974365, -0.02142334
08:10:09.297 AM,142.9423, 121.8722, -283.9589,352.8286, 182.0666, 343.5234,-0.01803589, 0.03785706, 0.01373291,0.004516602, 0.008728027, 0.01599121
08:10:09.308 AM,142.9916, 121.8814, -283.9635,352.8261, 182.0462, 343.5293,0.04927063, 0.009185791, -0.004577637,-0.002502441, -0.02041626, 0.00592041
08:10:09.319 AM,142.9922, 121.9139, -283.9629,352.8146, 182.0444, 343.5311,0.0006103516, 0.03250122, 0.0006408691,-0.01144409, -0.001815796, 0.001800537
08:10:09.331 AM,142.9854, 121.9145, -283.9597,352.8259, 182.0499, 343.5359,-0.006759644, 0.0006484985, 0.003143311,0.01126099, 0.005477905, 0.00479126
08:10:09.342 AM,142.9975, 121.9107, -283.9622,352.8226, 182.0437, 343.5338,0.01205444, -0.003829956, -0.002532959,-0.003265381, -0.006225586, -0.002075195
08:10:09.353 AM,142.988, 121.915, -283.9563,352.8134, 182.0483, 343.5309,-0.009429932, 0.004318237, 0.005981445,-0.009246826, 0.004623413, -0.00289917
08:10:09.363 AM,142.989, 121.9174, -283.9565,352.8276, 182.0496, 343.5378,0.00100708, 0.002403259, -0.0002746582,0.01425171, 0.001296997, 0.006835938
08:10:09.377 AM,142.9698, 121.842, -283.9774,352.8339, 182.056, 343.5163,-0.01928711, -0.07543182, -0.02090454,0.006286621, 0.006469727, -0.02145386
08:10:09.385 AM,142.9839, 121.8995, -283.9723,352.838, 182.0485, 343.5394,0.01411438, 0.05745697, 0.005126953,0.004089355, -0.007522583, 0.02307129
08:10:09.397 AM,142.9888, 121.9056, -283.9734,352.8312, 182.0451, 343.5379,0.004898071, 0.006149292, -0.001068115,-0.006835938, -0.003387451, -0.001495361
08:10:09.408 AM,142.9913, 121.901, -283.9658,352.8303, 182.044, 343.5407,0.0025177, -0.004600525, 0.007598877,-0.0009155273, -0.001113892, 0.002838135
08:10:09.419 AM,142.9774, 121.8874, -283.9673,352.8326, 182.0512, 343.532,-0.01393127, -0.01359558, -0.001464844,0.002380371, 0.007217407, -0.008758545
08:10:09.430 AM,142.9567, 121.9137, -283.9559,352.8342, 182.0618, 343.5415,-0.02069092, 0.02632904, 0.01138306,0.001556396, 0.0105896, 0.00958252
08:10:09.441 AM,142.9737, 121.8941, -283.9631,352.8315, 182.0503, 343.5325,0.01701355, -0.01969147, -0.007232666,-0.002655029, -0.01156616, -0.009002686
08:10:09.452 AM,142.959, 121.9135, -283.9554,352.8336, 182.0575, 343.54,-0.01472473, 0.01940918, 0.00769043,0.002044678, 0.007202148, 0.007476807
08:10:09.463 AM,142.9613, 121.8843, -283.963,352.8361, 182.0567, 343.5295,0.002304077, -0.02915955, -0.007629395,0.002502441, -0.0007171631, -0.01052856
08:10:09.474 AM,142.9865, 121.8707, -283.9652,352.8358, 182.0478, 343.5283,0.02522278, -0.01364136, -0.00213623,-0.0003051758, -0.008972168, -0.001159668
08:10:09.486 AM,143.0071, 121.9257, -283.9741,352.8295, 182.0345, 343.5426,0.02064514, 0.0550766, -0.008880615,-0.006286621, -0.01332092, 0.01425171
