C:\Users\eric\Documents\ML - ver2\data_2017-05-23-09-33-59.csv,linear scale factor,100
time,posX,posY,posZ,angAlpha,angBeta,angGamma,velX,velY,velZ,aVelAlpha,aVelBeta,aVelGamma
09:33:59.195 AM,91.22217, 148.663, -199.8819,355.4194, 230.7174, 352.4611,91.22217, 148.663, -199.8819,355.4194, 230.7174, 352.4611
09:33:59.199 AM,91.22217, 148.663, -199.8819,355.4194, 230.7174, 352.4611,0, 0, 0,0, 0, 0
09:33:59.473 AM,91.22207, 148.6611, -199.8822,355.4199, 230.7173, 352.461,-9.918213E-05, -0.00189209, -0.0002593994,0.0004577637, -0.0001068115, -9.155273E-05
09:33:59.485 AM,91.30228, 148.8004, -200.0024,355.4223, 230.6595, 352.4781,0.08021545, 0.1392975, -0.1202545,0.002441406, -0.05776978, 0.01705933
09:33:59.496 AM,108.3692, 148.2894, -210.7259,355.532, 220.0766, 352.7383,17.06693, -0.5110168, -10.72345,0.1096802, -10.58295, 0.2602844
09:33:59.504 AM,112.4764, 149.3618, -212.6909,356.2766, 218.1591, 353.8973,4.107231, 1.072372, -1.964996,0.7445374, -1.917404, 1.158966
09:33:59.512 AM,116.5807, 149.904, -214.7008,357.3655, 216.4152, 355.152,4.104233, 0.5421906, -2.009979,1.088928, -1.743973, 1.2547
09:33:59.523 AM,120.4253, 150.235, -216.5345,358.8707, 215.1331, 356.6853,3.844658, 0.3310242, -1.833633,1.505188, -1.282104, 1.533264
09:33:59.546 AM,131.4386, 152.3342, -220.7196,2.796327, 212.1254, 1.24736,11.01324, 2.099167, -4.18515,-356.0743, -3.00766, -355.4379
09:33:59.557 AM,131.7258, 153.0843, -220.4068,3.136867, 212.5531, 1.971144,0.287262, 0.7501526, 0.312851,0.3405399, 0.4276581, 0.7237844
09:33:59.568 AM,134.4453, 153.8116, -221.1449,4.608783, 212.5649, 3.738487,2.719452, 0.7273254, -0.7380981,1.471916, 0.0118103, 1.767343
09:33:59.579 AM,137.0038, 154.1919, -221.8913,6.166877, 212.794, 5.508673,2.558517, 0.3802948, -0.7464447,1.558094, 0.229126, 1.770186
09:33:59.601 AM,143.1386, 155.7805, -222.9489,10.13739, 214.8356, 10.88756,6.134781, 1.588593, -1.057571,3.970516, 2.041626, 5.378885
09:33:59.624 AM,144.3542, 159.5993, -221.2289,11.16607, 217.7135, 14.29704,1.215668, 3.818802, 1.719971,1.028672, 2.877823, 3.409479
09:33:59.639 AM,144.7687, 160.7736, -220.8546,10.95554, 217.5337, 14.45583,0.4144592, 1.174225, 0.3742676,-0.2105207, -0.1797791, 0.1587973
09:33:59.646 AM,147.2942, 162.3586, -220.8031,11.69075, 217.8978, 16.08909,2.525513, 1.585083, 0.05149841,0.7352085, 0.3641205, 1.633256
09:33:59.657 AM,149.3505, 163.0059, -220.944,12.51687, 218.0735, 17.25977,2.056274, 0.6472778, -0.1408539,0.8261194, 0.1757202, 1.170679
09:33:59.668 AM,150.8559, 162.5133, -221.4587,13.69278, 218.5423, 18.26761,1.505356, -0.4926147, -0.514679,1.175903, 0.46875, 1.007845
09:33:59.682 AM,151.8286, 161.0112, -222.1372,15.00468, 218.9498, 18.89648,0.9727478, -1.502136, -0.6785583,1.311905, 0.4075165, 0.62887
09:33:59.691 AM,152.6583, 159.2654, -222.8531,16.3858, 219.455, 19.49808,0.8297272, -1.745758, -0.7158203,1.381115, 0.5051727, 0.6015949
09:33:59.702 AM,153.7368, 157.0492, -223.971,18.02235, 219.6981, 19.93562,1.07843, -2.216232, -1.11795,1.636553, 0.2431641, 0.4375439
09:33:59.724 AM,158.5351, 152.454, -226.2211,21.89022, 218.3526, 20.53971,4.798386, -4.595154, -2.250107,3.867868, -1.34549, 0.604084
09:33:59.746 AM,158.036, 151.9721, -226.1045,22.41116, 214.9381, 17.44591,-0.4991302, -0.4819489, 0.1166229,0.5209389, -3.414566, -3.093796
09:33:59.757 AM,157.433, 152.5829, -225.8039,21.87683, 213.9588, 16.43005,-0.6030426, 0.6108246, 0.3006134,-0.5343227, -0.9793091, -1.015862
09:33:59.768 AM,157.9838, 152.5887, -226.1214,22.34911, 212.4625, 15.34071,0.5507965, 0.005767822, -0.3175201,0.4722729, -1.496246, -1.089335
09:33:59.780 AM,159.1338, 152.721, -226.2328,22.8427, 210.92, 14.47831,1.15007, 0.1322937, -0.1113892,0.4935932, -1.542557, -0.8624067
09:33:59.794 AM,160.4563, 153.1242, -226.315,23.31877, 209.4058, 13.71726,1.322433, 0.4031982, -0.08221436,0.4760666, -1.514175, -0.7610435
09:33:59.803 AM,161.6678, 153.9916, -226.4401,23.60947, 207.6704, 12.74119,1.211533, 0.8674011, -0.1250916,0.2907047, -1.735413, -0.976079
