C:\Users\eric\Documents\ML - ver2\data_2017-05-22-14-39-26.csv,linear scale factor,100
time,posX,posY,posZ,angAlpha,angBeta,angGamma,velX,velY,velZ,aVelAlpha,aVelBeta,aVelGamma
02:39:26.481 PM,116.9984, 138.1311, -297.1528,351.4706, 186.4677, 347.9189,116.9984, 138.1311, -297.1528,351.4706, 186.4677, 347.9189
02:39:26.491 PM,116.9984, 138.1311, -297.1528,351.4706, 186.4677, 347.9189,0, 0, 0,0, 0, 0
02:39:26.711 PM,116.9977, 138.1296, -297.1523,351.4724, 186.4684, 347.9188,-0.0007095337, -0.00151062, 0.0005187988,0.001831055, 0.0007476807, -0.0001525879
02:39:26.721 PM,75.72272, 173.3953, -255.3916,333.8912, 202.5878, 332.112,-41.27499, 35.26575, 41.76073,-17.58121, 16.11937, -15.80673
02:39:26.739 PM,70.23477, 189.2027, -241.26,330.8837, 203.938, 332.5243,-5.487946, 15.80739, 14.13153,-3.007538, 1.350235, 0.4122314
02:39:26.746 PM,68.34402, 192.7304, -237.1841,330.1423, 204.7095, 332.7263,-1.890747, 3.527679, 4.075882,-0.741333, 0.7714386, 0.2020874
02:39:26.757 PM,66.71272, 194.8637, -233.9025,329.4963, 205.4494, 332.3999,-1.63131, 2.133301, 3.281616,-0.6459961, 0.7399139, -0.3264771
02:39:26.768 PM,65.65291, 195.8016, -231.5028,329.2096, 205.9329, 331.833,-1.059807, 0.9378967, 2.399704,-0.2867737, 0.48349, -0.566864
02:39:26.782 PM,65.90697, 198.2236, -229.3536,329.4504, 205.3751, 332.403,0.2540665, 2.422058, 2.1492,0.2408142, -0.5577545, 0.5700378
02:39:26.792 PM,67.2317, 200.1399, -228.2402,330.0546, 204.1383, 333.0652,1.32473, 1.916275, 1.113388,0.604187, -1.236862, 0.6621094
02:39:26.801 PM,69.26797, 201.3421, -227.8681,330.8865, 202.5668, 333.5984,2.036263, 1.202148, 0.3721008,0.8319397, -1.571457, 0.5332336
02:39:26.812 PM,72.4725, 202.5991, -228.1473,332.0946, 200.3073, 334.4661,3.204536, 1.257034, -0.279129,1.208099, -2.259537, 0.8676758
02:39:26.823 PM,76.1378, 202.8451, -229.0326,333.4744, 197.9165, 335.0083,3.665298, 0.2460022, -0.8853302,1.379761, -2.390778, 0.5422363
02:39:26.834 PM,79.30518, 201.8766, -230.0235,334.5889, 195.9468, 334.7641,3.167374, -0.9684753, -0.9909363,1.114532, -1.969666, -0.2442322
02:39:26.846 PM,81.52843, 200.2162, -230.5436,335.3163, 194.5797, 333.9537,2.223259, -1.660416, -0.5200653,0.727417, -1.367157, -0.8103943
02:39:26.857 PM,83.21495, 197.7698, -230.9274,335.8718, 193.6332, 332.686,1.686516, -2.446381, -0.3837738,0.555481, -0.9465179, -1.267639
02:39:26.868 PM,85.00229, 195.8171, -231.0841,336.5463, 192.6192, 331.6682,1.787338, -1.952728, -0.156723,0.67453, -1.013947, -1.017792
02:39:26.879 PM,87.45647, 194.1059, -231.3298,337.5836, 191.2081, 331.0237,2.454178, -1.711151, -0.2456665,1.037323, -1.411118, -0.6445313
02:39:26.890 PM,90.24183, 193.1064, -231.3607,338.788, 189.5869, 330.8113,2.785362, -0.999588, -0.03091431,1.204346, -1.621216, -0.2124329
02:39:26.902 PM,92.81812, 192.3869, -231.0505,339.938, 188.0864, 330.6737,2.576286, -0.7194824, 0.3101807,1.150024, -1.500443, -0.1376038
02:39:26.912 PM,95.0312, 191.5106, -230.4242,340.927, 186.8103, 330.4224,2.213081, -0.8762512, 0.6263275,0.9889526, -1.276108, -0.2513123
02:39:26.925 PM,96.8876, 190.5343, -229.5983,341.6689, 185.7472, 330.0262,1.856407, -0.9763489, 0.8258514,0.7419434, -1.063126, -0.3961182
02:39:26.935 PM,98.18039, 189.7929, -228.3028,342.1074, 184.9779, 329.5976,1.292786, -0.7413635, 1.295547,0.4384766, -0.7692871, -0.4286499
02:39:26.946 PM,99.15192, 189.2363, -226.7072,342.3045, 184.357, 329.151,0.9715347, -0.5565796, 1.595566,0.1971436, -0.6209564, -0.4465637
02:39:26.957 PM,99.80353, 189.0448, -224.7339,342.1161, 183.8753, 328.7729,0.6516037, -0.1915588, 1.973343,-0.188446, -0.4816589, -0.3781128
02:39:26.969 PM,100.9818, 188.439, -223.155,342.0065, 183.1299, 328.2426,1.178307, -0.6057739, 1.578857,-0.1095581, -0.7454071, -0.5303345
02:39:26.980 PM,103.0138, 187.2189, -222.1002,342.1768, 181.9651, 327.6018,2.031967, -1.220139, 1.054764,0.1703186, -1.164764, -0.6407776
02:39:26.991 PM,106.1493, 185.6395, -221.5331,342.6648, 180.2151, 327.0675,3.135513, -1.579315, 0.5671692,0.4879761, -1.749985, -0.5342712
02:39:27.002 PM,108.9923, 184.4556, -220.613,343.0712, 178.5877, 326.6489,2.843033, -1.183899, 0.9200592,0.4063721, -1.627426, -0.4186707
02:39:27.014 PM,111.4384, 184.0627, -219.13,343.2808, 177.0898, 326.5632,2.446022, -0.3929901, 1.482986,0.2096252, -1.497925, -0.08569336
02:39:27.024 PM,114.1051, 184.3497, -217.4024,343.611, 175.3937, 326.9439,2.666725, 0.2870636, 1.727631,0.3301392, -1.69606, 0.3807373
02:39:27.035 PM,117.7672, 184.6932, -215.9167,344.3457, 173.1552, 327.5815,3.662094, 0.3434601, 1.485687,0.7347717, -2.238556, 0.6376038
02:39:27.047 PM,121.7813, 184.1079, -214.7653,345.2931, 170.8355, 327.838,4.014076, -0.5852661, 1.151367,0.9473267, -2.319656, 0.2565002
02:39:27.058 PM,126.0297, 182.3094, -213.9957,346.3512, 168.4777, 327.5445,4.248413, -1.798523, 0.7695923,1.058105, -2.357788, -0.2935181
02:39:27.069 PM,129.9749, 179.7161, -213.3889,347.3351, 166.3504, 326.748,3.94519, -2.593323, 0.6068878,0.9839172, -2.12738, -0.7965088
02:39:27.080 PM,133.6325, 177.52, -212.4368,348.3055, 164.3549, 326.1226,3.657623, -2.196045, 0.9520569,0.9703979, -1.995438, -0.6254272
02:39:27.091 PM,137.2975, 175.9104, -211.2626,349.8576, 162.3704, 326.0736,3.665054, -1.609589, 1.17424,1.552155, -1.984482, -0.04898071
02:39:27.103 PM,140.9567, 174.5266, -210.082,352.3197, 160.5604, 326.4563,3.659195, -1.383789, 1.180573,2.462097, -1.810059, 0.3827209
02:39:27.114 PM,143.7668, 172.7254, -208.9516,355.0703, 159.4152, 326.6838,2.810013, -1.801193, 1.130417,2.750549, -1.145203, 0.227478
02:39:27.126 PM,145.0355, 170.0645, -207.8882,357.1873, 159.0786, 326.1905,1.268723, -2.660934, 1.0634,2.116974, -0.3365631, -0.4932861
02:39:27.136 PM,145.1693, 167.1485, -206.9357,357.9143, 159.111, 324.9183,0.1338348, -2.91597, 0.9524994,0.7270203, 0.03234863, -1.272156
02:39:27.147 PM,145.2816, 164.972, -205.9577,358.0614, 159.048, 323.7416,0.1122589, -2.176498, 0.9779968,0.1471252, -0.06300354, -1.176758
02:39:27.158 PM,145.544, 164.2914, -204.6814,358.1158, 158.7587, 323.309,0.2624054, -0.6806641, 1.27623,0.05441284, -0.2893066, -0.4325867
02:39:27.169 PM,145.5678, 164.6257, -203.3168,358.6361, 158.6772, 323.5892,0.02386475, 0.3343353, 1.364594,0.5202942, -0.08146667, 0.2801819
02:39:27.181 PM,144.2305, 165.6318, -202.0269,359.5476, 159.5727, 324.3986,-1.337372, 1.006042, 1.289932,0.911499, 0.8955078, 0.8094482
02:39:27.192 PM,141.1413, 166.2064, -200.774,0.1746277, 161.4779, 324.8821,-3.089218, 0.5746765, 1.252869,-359.373, 1.905197, 0.4835205
02:39:27.205 PM,135.6565, 165.796, -199.6907,359.8847, 164.6519, 324.4733,-5.484756, -0.4104614, 1.083344,359.7101, 3.174011, -0.4088135
02:39:27.214 PM,131.6558, 164.4443, -198.9628,0.06042456, 167.1166, 323.735,-4.000732, -1.351715, 0.727951,-359.8243, 2.464691, -0.7382813
02:39:27.225 PM,129.4576, 162.3928, -198.674,0.6570784, 168.4694, 322.7776,-2.198196, -2.051483, 0.2887726,0.5966538, 1.352768, -0.9573975
02:39:27.237 PM,128.5044, 161.3204, -198.4107,1.114933, 168.9738, 322.1972,-0.9531403, -1.072327, 0.2633057,0.4578549, 0.5044403, -0.5804138
02:39:27.247 PM,128.5829, 162.2614, -197.8663,1.258192, 168.7309, 322.4609,0.07849121, 0.9409332, 0.5444031,0.1432589, -0.2429352, 0.2636719
02:39:27.259 PM,129.0316, 165.6272, -196.7216,0.7769431, 168.0012, 323.6638,0.4487, 3.365814, 1.144623,-0.4812491, -0.7296295, 1.202911
02:39:27.270 PM,129.181, 169.8612, -195.259,0.03917178, 167.3858, 325.2376,0.1494293, 4.233978, 1.462662,-0.7377713, -0.615387, 1.573761
02:39:27.281 PM,128.9511, 175.8099, -193.2327,358.7902, 166.9133, 327.5083,-0.2299652, 5.948715, 2.026337,358.751, -0.4725494, 2.270691
02:39:27.292 PM,127.9503, 180.8965, -191.2122,357.6701, 166.9202, 329.4154,-1.000732, 5.086655, 2.020477,-1.120148, 0.006866455, 1.907135
02:39:27.304 PM,126.5746, 185.6052, -189.3865,356.5688, 167.1727, 331.1548,-1.375763, 4.708694, 1.825684,-1.101318, 0.2525024, 1.739349
02:39:27.315 PM,125.2015, 190.1346, -187.5983,355.3439, 167.3939, 332.76,-1.373085, 4.529312, 1.788147,-1.224854, 0.2211914, 1.605286
02:39:27.327 PM,123.8408, 195.2988, -185.3274,353.8396, 167.4848, 334.6215,-1.360664, 5.164246, 2.270905,-1.504303, 0.09092712, 1.86145
02:39:27.337 PM,122.7816, 201.2522, -182.5737,352.1391, 167.3212, 336.9475,-1.059204, 5.95343, 2.753723,-1.7005, -0.163559, 2.326019
02:39:27.349 PM,121.1996, 207.7591, -179.1906,350.2545, 167.4666, 339.5875,-1.582008, 6.506866, 3.383087,-1.884552, 0.1453857, 2.639984
02:39:27.360 PM,118.8815, 213.9529, -175.2598,348.5227, 168.206, 342.219,-2.318161, 6.193802, 3.930832,-1.731812, 0.7394257, 2.631531
02:39:27.370 PM,115.7522, 219.0792, -171.6283,347.2763, 169.8013, 344.4274,-3.129257, 5.126312, 3.631531,-1.246399, 1.595261, 2.208374
02:39:27.382 PM,111.3918, 222.7573, -168.6325,346.5392, 172.5689, 345.9053,-4.36042, 3.678055, 2.995758,-0.7370911, 2.767639, 1.477936
02:39:27.393 PM,107.4961, 225.981, -165.6047,346.1161, 175.2942, 347.3259,-3.895729, 3.223694, 3.027832,-0.4230957, 2.725235, 1.420593
02:39:27.404 PM,103.316, 228.561, -163.099,346.4688, 178.8479, 348.623,-4.180008, 2.580017, 2.505707,0.3526611, 3.55368, 1.297028
02:39:27.415 PM,98.9477, 230.8967, -160.702,346.6298, 182.5044, 349.6371,-4.368347, 2.335739, 2.396942,0.1609497, 3.65657, 1.01413
02:39:27.656 PM,94.9945, 233.3492, -157.6116,345.9352, 185.3595, 350.477,-3.953201, 2.452515, 3.090408,-0.6945801, 2.855042, 0.8399353
02:39:27.939 PM,79.27974, 266.5622, -109.4205,342.8792, 223.2358, 8.800541,-15.71476, 33.213, 48.19116,-3.056, 37.87634, -341.6765
02:39:27.948 PM,70.73534, 232.4769, -131.7428,353.8383, 230.7487, 1.812826,-8.544403, -34.0853, -22.32231,10.95914, 7.512924, -6.987715
