C:\Users\eric\Documents\ML - ver2\data_2017-05-23-08-44-42.csv,linear scale factor,100
time,posX,posY,posZ,angAlpha,angBeta,angGamma,velX,velY,velZ,aVelAlpha,aVelBeta,aVelGamma
08:44:42.630 AM,-29.95856, 138.8991, -130.8094,357.8247, 281.8109, 352.8401,-29.95856, 138.8991, -130.8094,357.8247, 281.8109, 352.8401
08:44:42.634 AM,-29.95856, 138.8991, -130.8094,357.8247, 281.8109, 352.8401,0, 0, 0,0, 0, 0
08:44:42.883 AM,-29.95667, 138.9079, -130.8071,357.8245, 281.812, 352.8421,0.001882553, 0.008789063, 0.002334595,-0.0001831055, 0.001098633, 0.001922607
08:44:42.892 AM,-29.95617, 138.868, -130.8402,357.8281, 281.7989, 352.8407,0.0005016327, -0.03988647, -0.03314209,0.003601074, -0.01306152, -0.001342773
08:44:42.902 AM,-29.96161, 138.8852, -130.7969,357.8262, 281.8172, 352.839,-0.005435944, 0.01715088, 0.04328918,-0.001861572, 0.01824951, -0.001708984
08:44:42.912 AM,-29.96349, 138.907, -130.8317,357.8256, 281.8009, 352.8373,-0.00188446, 0.02180481, -0.034729,-0.0006408691, -0.01623535, -0.001678467
08:44:42.924 AM,-29.96051, 138.9212, -130.8211,357.8221, 281.8068, 352.84,0.002979279, 0.01417542, 0.01057434,-0.003479004, 0.005828857, 0.002685547
08:44:42.935 AM,-29.95772, 138.9379, -130.8183,357.8266, 281.8128, 352.8468,0.002790451, 0.01667786, 0.002838135,0.004516602, 0.006072998, 0.00680542
08:44:42.946 AM,-29.97081, 138.8902, -130.8283,357.8292, 281.8094, 352.8372,-0.01309013, -0.0476532, -0.01008606,0.002532959, -0.003479004, -0.009674072
08:44:42.957 AM,-29.98011, 138.8583, -130.8251,357.8336, 281.8129, 352.8328,-0.009296417, -0.03192139, 0.003265381,0.004394531, 0.003570557, -0.004364014
08:44:42.968 AM,-29.97215, 138.9116, -130.7932,357.8293, 281.8269, 352.8409,0.007961273, 0.05334473, 0.03186035,-0.004241943, 0.01397705, 0.008117676
08:44:42.982 AM,-29.96854, 138.8828, -130.822,357.8284, 281.8108, 352.8374,0.003612518, -0.02879333, -0.02882385,-0.0009460449, -0.01611328, -0.003479004
08:44:42.990 AM,-29.97327, 138.8555, -130.841,357.8306, 281.8031, 352.8338,-0.004732132, -0.02737427, -0.01896667,0.002227783, -0.007659912, -0.003662109
08:44:43.001 AM,-29.97091, 138.8716, -130.8188,357.8261, 281.8112, 352.8346,0.00235939, 0.01617432, 0.02218628,-0.004455566, 0.008087158, 0.000793457
08:44:43.015 AM,-29.96795, 138.8807, -130.8282,357.8274, 281.8094, 352.8358,0.00295639, 0.009094238, -0.009338379,0.001281738, -0.001861572, 0.001251221
08:44:43.024 AM,-29.96154, 138.9129, -130.8134,357.8224, 281.8117, 352.8385,0.006414413, 0.03219604, 0.01480103,-0.0050354, 0.002319336, 0.002716064
08:44:43.035 AM,-29.9669, 138.8848, -130.822,357.823, 281.8071, 352.8333,-0.005365372, -0.02812195, -0.008666992,0.000579834, -0.004608154, -0.005218506
