C:\Users\eric\Documents\ML - ver2\data_2017-05-23-09-36-07.csv,linear scale factor,100
time,posX,posY,posZ,angAlpha,angBeta,angGamma,velX,velY,velZ,aVelAlpha,aVelBeta,aVelGamma
09:36:07.502 AM,113.3454, 159.5034, -206.5857,352.0325, 220.0278, 352.8474,113.3454, 159.5034, -206.5857,352.0325, 220.0278, 352.8474
09:36:07.506 AM,113.3454, 159.5034, -206.5857,352.0325, 220.0278, 352.8474,0, 0, 0,0, 0, 0
09:36:07.783 AM,113.3512, 159.5003, -206.5803,352.0327, 220.0266, 352.8484,0.005821228, -0.003128052, 0.005477905,0.000213623, -0.001205444, 0.001098633
09:36:07.799 AM,252.9899, 240.6031, -176.93,346.3168, 264.6806, 58.25586,139.6387, 81.10286, 29.65027,-5.715881, 44.65402, -294.5926
09:36:07.813 AM,180.1977, 285.6357, -141.1077,344.9232, 278.3785, 34.64914,-72.79219, 45.03256, 35.8223,-1.393646, 13.69794, -23.60672
09:36:07.822 AM,178.7366, 288.4516, -136.2778,344.223, 279.5109, 33.46902,-1.46109, 2.815948, 4.829865,-0.7001953, 1.132355, -1.180119
09:36:07.829 AM,177.1871, 291.6627, -131.43,343.5709, 280.5549, 32.24016,-1.54953, 3.21106, 4.847855,-0.6520386, 1.043976, -1.228859
09:36:07.840 AM,175.538, 294.273, -126.2778,342.9365, 281.5343, 31.03881,-1.649078, 2.610352, 5.152145,-0.6343994, 0.9794006, -1.201353
09:36:07.873 AM,163.0376, 303.0982, -106.1487,341.5543, 285.8418, 25.38766,-12.50046, 8.825165, 20.12916,-1.382263, 4.307495, -5.65114
09:36:07.895 AM,156.9402, 306.3055, -95.46659,340.8588, 286.7655, 22.97376,-6.097336, 3.207336, 10.68208,-0.6954651, 0.9237366, -2.413902
09:36:07.917 AM,151.7013, 309.1485, -83.84537,339.9425, 287.6498, 20.59912,-5.238907, 2.842957, 11.62122,-0.9162598, 0.8842773, -2.374641
09:36:07.940 AM,147.4959, 310.8669, -73.30175,339.103, 288.3352, 18.62249,-4.20546, 1.718384, 10.54362,-0.8395691, 0.6853943, -1.976635
