C:\Users\eric\Documents\ML - ver2\data_2017-05-22-14-41-36.csv,linear scale factor,100
time,posX,posY,posZ,angAlpha,angBeta,angGamma,velX,velY,velZ,aVelAlpha,aVelBeta,aVelGamma
02:41:36.445 PM,79.25204, 135.2663, -267.4203,354.3231, 210.6544, 347.5649,79.25204, 135.2663, -267.4203,354.3231, 210.6544, 347.5649
02:41:36.450 PM,79.25204, 135.2663, -267.4203,354.3231, 210.6544, 347.5649,0, 0, 0,0, 0, 0
02:41:36.594 PM,79.25249, 135.2658, -267.4229,354.3234, 210.6542, 347.5638,0.0004577637, -0.0005645752, -0.002502441,0.0003662109, -0.000289917, -0.001068115
02:41:36.608 PM,79.26125, 135.1767, -267.4061,354.3259, 210.6474, 347.5635,0.008758545, -0.08909607, 0.01678467,0.002441406, -0.006713867, -0.0003356934
02:41:36.619 PM,79.27068, 135.1875, -267.4159,354.3183, 210.6407, 347.5622,0.009422302, 0.01078796, -0.00982666,-0.007568359, -0.006698608, -0.001312256
02:41:36.638 PM,79.26377, 135.206, -267.4081,354.3329, 210.6493, 347.5806,-0.006904602, 0.01856995, 0.007843018,0.0145874, 0.008544922, 0.01843262
02:41:36.649 PM,79.2423, 135.2072, -267.3915,354.3176, 210.6591, 347.5724,-0.02146912, 0.001220703, 0.01657104,-0.01531982, 0.009765625, -0.008178711
02:41:36.660 PM,79.22062, 135.1799, -267.3687,354.3245, 210.6732, 347.5661,-0.02168274, -0.02734375, 0.02276611,0.006958008, 0.0141449, -0.006317139
02:41:36.671 PM,79.24794, 135.2133, -267.3801,354.3079, 210.6548, 347.5685,0.02732086, 0.03340149, -0.01135254,-0.01660156, -0.01838684, 0.002410889
02:41:36.684 PM,79.26553, 135.2009, -267.3961,354.3101, 210.6461, 347.5654,0.01758575, -0.01239014, -0.01608276,0.002197266, -0.008666992, -0.003173828
02:41:36.693 PM,79.25958, 135.2348, -267.3739,354.3082, 210.6516, 347.5755,-0.005943298, 0.03387451, 0.0222168,-0.001922607, 0.005432129, 0.01010132
02:41:36.704 PM,79.24864, 135.2204, -267.369,354.3132, 210.6586, 347.5739,-0.01094055, -0.0144043, 0.00491333,0.005004883, 0.006973267, -0.001617432
02:41:36.715 PM,79.26016, 135.2356, -267.3783,354.2993, 210.6471, 347.5689,0.01152039, 0.01525879, -0.009277344,-0.01394653, -0.01142883, -0.004974365
02:41:36.726 PM,79.26801, 135.2156, -267.3856,354.3123, 210.6445, 347.5699,0.007843018, -0.02001953, -0.007293701,0.01306152, -0.002593994, 0.00100708
02:41:36.738 PM,79.26403, 135.244, -267.3723,354.3043, 210.6458, 347.5753,-0.003974915, 0.02833557, 0.01330566,-0.007995605, 0.001251221, 0.005371094
02:41:36.749 PM,79.25787, 135.1865, -267.3874,354.3109, 210.648, 347.5576,-0.006156921, -0.0574646, -0.01507568,0.006622314, 0.002182007, -0.01766968
02:41:36.760 PM,79.25459, 135.2379, -267.3677,354.3099, 210.6531, 347.5755,-0.00328064, 0.05137634, 0.01965332,-0.001037598, 0.005126953, 0.0178833
02:41:36.772 PM,79.24586, 135.2379, -267.3591,354.3169, 210.6604, 347.5793,-0.008728027, -1.525879E-05, 0.008575439,0.006988525, 0.007278442, 0.003875732
02:41:36.783 PM,79.26932, 135.2418, -267.38,354.3109, 210.6456, 347.5751,0.02345276, 0.003982544, -0.02090454,-0.005950928, -0.01481628, -0.004211426
02:41:36.794 PM,79.28348, 135.2407, -267.3874,354.3017, 210.6352, 347.5707,0.01416016, -0.00112915, -0.007354736,-0.009216309, -0.01036072, -0.004425049
02:41:36.805 PM,79.30524, 135.2285, -267.4062,354.315, 210.6242, 347.5747,0.02176666, -0.01219177, -0.01879883,0.01327515, -0.01101685, 0.003997803
02:41:36.816 PM,79.27024, 135.2234, -267.3842,354.3159, 210.6456, 347.5706,-0.03500366, -0.005126953, 0.02197266,0.0009155273, 0.02146912, -0.004058838
02:41:36.827 PM,79.27284, 135.1888, -267.3967,354.3181, 210.6432, 347.5626,0.002601624, -0.03463745, -0.01248169,0.00213623, -0.002410889, -0.008026123
02:41:36.838 PM,79.27494, 135.2321, -267.3855,354.314, 210.6439, 347.5751,0.002098083, 0.04333496, 0.01119995,-0.004058838, 0.0006256104, 0.01251221
02:41:36.849 PM,79.28051, 135.2254, -267.3978,354.3074, 210.6372, 347.5671,0.005569458, -0.006698608, -0.01229858,-0.006622314, -0.006652832, -0.007995605
02:41:36.861 PM,79.29185, 135.2133, -267.411,354.3171, 210.6323, 347.5695,0.01133728, -0.01213074, -0.01318359,0.009765625, -0.004943848, 0.002380371
02:41:36.872 PM,79.28088, 135.2182, -267.4003,354.316, 210.6391, 347.5705,-0.01097107, 0.00491333, 0.01068115,-0.001159668, 0.006835938, 0.00100708
02:41:36.883 PM,79.31171, 135.2457, -267.418,354.3148, 210.6282, 347.5741,0.03083038, 0.02752686, -0.01766968,-0.001190186, -0.01086426, 0.003570557
02:41:36.894 PM,79.31133, 135.2572, -267.4096,354.3182, 210.6316, 347.5802,-0.0003814697, 0.01152039, 0.008392334,0.003417969, 0.003356934, 0.006103516
02:41:36.906 PM,79.29736, 135.2569, -267.3983,354.3158, 210.6403, 347.5785,-0.01396179, -0.0003662109, 0.01126099,-0.002410889, 0.008728027, -0.001708984
02:41:36.920 PM,79.28348, 135.213, -267.4092,354.3117, 210.6364, 347.5614,-0.0138855, -0.0438385, -0.01086426,-0.004089355, -0.00390625, -0.01705933
02:41:36.928 PM,79.27973, 135.1777, -267.4207,354.3296, 210.6416, 347.5635,-0.003746033, -0.03535461, -0.01150513,0.0178833, 0.005142212, 0.002075195
02:41:36.939 PM,79.28941, 135.187, -267.4275,354.3302, 210.6358, 347.5672,0.009681702, 0.009368896, -0.006774902,0.000579834, -0.005706787, 0.003692627
02:41:36.950 PM,79.259, 135.2141, -267.4033,354.3206, 210.6505, 347.569,-0.03041077, 0.02706909, 0.0241394,-0.009613037, 0.0146637, 0.001831055
02:41:36.961 PM,79.26613, 135.2048, -267.4024,354.3173, 210.6452, 347.5634,0.007125854, -0.009277344, 0.0009460449,-0.003295898, -0.005340576, -0.005615234
02:41:36.973 PM,79.26505, 135.2158, -267.3987,354.3305, 210.6494, 347.5747,-0.001083374, 0.01101685, 0.003723145,0.01324463, 0.004241943, 0.01132202
02:41:36.983 PM,79.24554, 135.2149, -267.3904,354.314, 210.6548, 347.5634,-0.01950073, -0.0009155273, 0.008209229,-0.01647949, 0.005340576, -0.01132202
02:41:36.995 PM,79.25394, 135.2118, -267.3991,354.3149, 210.6492, 347.5648,0.008399963, -0.003112793, -0.008636475,0.0009155273, -0.005569458, 0.001434326
02:41:37.007 PM,79.26396, 135.2253, -267.4044,354.3275, 210.6462, 347.5758,0.0100174, 0.01344299, -0.005340576,0.01254272, -0.002975464, 0.01095581
02:41:37.018 PM,79.2634, 135.2433, -267.4019,354.3128, 210.6446, 347.5721,-0.0005645752, 0.01809692, 0.002471924,-0.01464844, -0.001602173, -0.003723145
02:41:37.028 PM,79.29218, 135.2509, -267.4166,354.3156, 210.6282, 347.5746,0.02877808, 0.007507324, -0.01464844,0.002807617, -0.0164032, 0.002471924
02:41:37.039 PM,79.27901, 135.2333, -267.4125,354.3177, 210.6357, 347.5696,-0.01316071, -0.01751709, 0.004058838,0.00201416, 0.007446289, -0.004974365
02:41:37.051 PM,79.28579, 135.2162, -267.4295,354.3112, 210.6287, 347.5571,0.006774902, -0.01716614, -0.01699829,-0.006469727, -0.006912231, -0.01248169
02:41:37.062 PM,79.27456, 135.2528, -267.4117,354.3174, 210.639, 347.5736,-0.01123047, 0.03666687, 0.0178833,0.006195068, 0.01023865, 0.01647949
02:41:37.073 PM,79.26049, 135.252, -267.4027,354.3166, 210.6468, 347.5726,-0.0140686, -0.000793457, 0.00894165,-0.0007629395, 0.007858276, -0.00100708
